filename	keywords
3942.html	James Lobley,  J. Lobley, 1829 – 1888, British, 19th century artist, Remember the Poor, Watercolor, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
3946.html	Albert Francis King, 1854 – 1945, American, 19th century artist, Still life with Oranges, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
3951.html	Albert Francis King, 1854 – 1945, American, 19th century artist, Still life with Apples, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
3957.html	Barton Stone Hays, American, 1826 – 1914, 19th century artist, Grapes and Peaches with Basket, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
3962.html	Barton Stone Hays, American, 1826 – 1914, 19th century artist, Still Life with Fruit, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
3968.html	Harry Herman Roseland, 1868 – 1950, American, 19th century artist, 20th century artist, Baby’s Wonderful Future, 1909, 1909 painting, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
3978.html	William Sidney Cooper, British 1854 – 1927, 19th century artist, 20th century artist, Sheep, Oil on canvas over board, animal, landscape, animal artwork, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
3982.html	William Sidney Cooper, British 1854 – 1927, 19th century artist, 20th century artist, Sheep Grazing, 1891, 1891 painting, Oil on canvas, animal, landscape, animal artwork, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
abbey_altson_forest.html	Abbey Altson, British, 1864 - 1949, 19th century artist, 20th century artist, Songs of the Forest, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
abbot_fuller_graves_art.html	Abbot Fuller Graves, , , ,(American, 1859-1936), artist, paintings, artwork, art work, painting, art
abbot_fuller_graves_fishing.html	Abbot Fuller Graves, American, 1859-1936, 19th century artist, 20th century artist, Fishing Boat in St. Ives Harbor, Cornwall, England, Oil on canvas, marine, marine artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Albert-Francis-King.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, The Fishing Hole, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_apples.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Two Baskets of Apples, still life, still life artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_apples_still_life.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Still life with Apples, still life, still life artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_artwork.html	Albert Francis King,A.F. King,American,1854 - 1945,artist,paintings,artwork,art work,painting,art
albert_francis_king_art_creek.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Landscape with Creek, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_art_lincoln.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Portrait of Abraham Lincoln, historical and political, historical and political artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_fishing_hole.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, The Fishing Hole, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_landscape.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_mckinley.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Portrait of William McKinley, historical and political, historical and political artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_oranges.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Still life with Oranges, still life, still life artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_peaches.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Peaches in a Pail, still life, still life artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_peaches_with_pail.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Peaches with Pail, still life, still life artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_pennsylvania.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Southwestern Pennsylvania Landscape, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_pitcher.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Still-life with Pitcher and Apples, still life, still life artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_rowing.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Rowing on the River, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
albert_francis_king_somerset.html	Albert Francis King, American, 1854 – 1945, 19th century artist, 20th century artist, Landscape (possibly Somerset, PA), landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
aldro_t_hibbard_winter.html	Aldro T. Hibbard, American, 1886 – 1972, 19th century artist, 20th century artist, Winter Landscape, Oil on board, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
alfred_bryan_wall_lady.html	Alfred Bryan. Wall,  A. Bryan Wall, 1861 – 1935, 19th century artist, 20th century artist, Lady in Schenley Park, Pittsburgh, PA, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
alfred_hutty_woodstock.html	Alfred Hutty, American, 1877 - 1954, 19th century artist, 20th century artist, Through the Wood, Woodstock, New York, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
alfred_s_wall_woods.html	Alfred S. Wall, American, 1825 – 1896, 19th century artist, The Woods at Dusk / Cows in the Woods, Oil on board, animal, landscape, animal artwork, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
alfred_thompson_bricher_seascape.html	Alfred Thompson Bricher, Alfred Thompson Bricher,  ATBricher, American, 1837 – 1908, 19th century artist, Watercolor, marine, marine artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
allan_brooks_deer.html	Allan Brooks, Canadian, 1869 - 1945, 19th century artist, 20th century artist, Deer in Landscape, Watercolor, landscape, animal, landscape artwork, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
allen_dean_chochran_winter.html	Allen Dean Cochran, American, 1888 - 1935, 20th century artist, Winter Landscape, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
andrew_thomas_schwartz_flowers.html	Andrew Thomas Schwartz, 1867 - 1942, 19th century artist, 20th century artist, Oil on board, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
andrien_louis_bruneau_art.html	Andrien-Louis Bruneau , Adrien Louis Bruneau, , ,(French, born 1831), artist, paintings, artwork, art work, painting, art
andrien_louis_bruneau_mice.html	Adrien-Louis Bruneau, French, 1831, 19th century artist, Mice, Watercolor, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
anthony_thieme_bridge.html	Anthony Thieme, 1888 - 1954, 20th century artist, Covered Bridge, Oil on Canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Apples-Penknife.html	Charles Armor, American, 1844 - 1911, 19th century artist, 20th century artist, Apples with Penknife, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_burdett_frost_grouse.html	Arthur Burdett (A.B.) Frost, Arthur Burdett Frost,  A. B. Frost, American, 1851 – 1928, 19th century artist, 20th century artist, Pen and ink, Pen and ink artwork, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_fitzwilliam_tait.html	Arthur Fitzwilliam Tait , Arthur Tait, A.F. Tait, ,(British-American, 1819 - 1905), artist, paintings, artwork, art work, painting, art
arthur_fitzwilliam_tait_baby_chicks.html	Arthur Fitzwilliam Tait, British-American, 1819 – 1905, 19th century artist, Two Baby Chicks, Oil on paper, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_hoeber_artwork.html	Arthur Hoeber , , , ,(American, 1854 - 1915), artist, paintings, artwork, art work, painting, art
arthur_hoeber_marsh.html	Arthur Hoeber, American, 1854 – 1915, 19th century artist, Serene Marsh, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_hoeber_path.html	Arthur Hoeber, American, 1854 – 1915, 19th century artist, Wooded Path by Pond, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_hoeber_silent_places.html	Arthur Hoeber, American, 1854 – 1915, 19th century artist, The Silent Places, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_loring_brackett_woodcock.html	Arthur Loring Brackett, A L Brackett,  Arthur Brackett, American, 1855-1934, 19th century artist, 20th century artist, Oil on canvas, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
arthur_v_diehl_dune.html	Arthur V. Diehl, American, 1870-1929, 19th century artist, 20th century artist, Sand Dune, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Artists--Bios.html	artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Artists.html	artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
auguste_toulmouch.html	Auguste Toulmouche , , , ,(French, 1829 - 1890), artist, paintings, artwork, art work, painting, art
auguste_toulmouche_diary.html	Auguste Toulmouche, French, 1829 – 1890, 19th century artist, The Diary, Oil on cradled wood panel, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
auguste_toulmouche_memories.html	Auguste Toulmouche, French, 1829 – 1890, 19th century artist, Memories, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
august_hermann_kruger.html	August Hermann Krüger , H. Kruger, , ,(German 1834 - 1908), artist, paintings, artwork, art work, painting, art
august_hermann_kruger_roses.html	August Hermann Krüger, H. Kruger, German, 1834 – 1908, 19th century artist, Roses in a Vase, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
august_laux_path.html	August Laux, American, 1847 – 1921, 19th century artist, 20th century artist, Pause on the Path, Oil on canvas, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
august_lLaux_raspberries.html	August Laux, American, 1847 – 1921, 19th century artist, 20th century artist, Raspberries and Currants, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 	
austin_c_wooster.html	Austin C. Wooster, A.C. Wooster, (American, 1838 - 1913), artist, paintings, artwork, art work, painting, art
austin_c_wooster_bounty.html	Austin C. Wooster, American 1838 – 1913, 19th century artist, Nature's Bounty, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
austin_c_wooster_canaloupes.html	Austin C. Wooster, American 1838 – 1913, 19th century artist, Still-life with Cantaloupes, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
austin_c_wooster_fruit.html	Austin C. Wooster, American 1838 – 1913, 19th century artist, Still Life with Fruit, 1893, 1893 painting, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 	
austin_c_wooster_oranges.html	Austin C. Wooster, American 1838 – 1913, 19th century artist, Still Life with Oranges, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
austin_c_wooster_still_life.html	Austin C. Wooster, American 1838 – 1913, 19th century artist, Still Life with a Jug, Apples & Cookies, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
austin_c_wooster_still_life_oranges_grapes_goblet.html	Austin C. Wooster, American 1838 – 1913, 19th century artist, Still-life—Oranges, Grapes and Goblet, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
a_scheiferdecker_art.html	A. Scheiferdecker, , , ,, artist, paintings, artwork, art work, painting, art
a_scheiferdecker_victorian.html	A. Scheiferdecker, 19th Century German or Austrian School, 19th century artist, Victorian Girl with Flowers, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
a_t_smith_art.html	A.T. Smith, , , ,, artist, paintings, artwork, art work, painting, art
a_t_smith_flowers.html	A.T. Smith, 19th century, 19th century artist, Still life of Flowers, Watercolor, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays.html	Barton Stone Hays, B.S. Hays, , ,(American, 1826 - 1914), artist, paintings, artwork, art work, painting, art
barton_stone_hays_apple.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life of Apples, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
barton_stone_hays_apples.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Apples on Plate and Tablecloth, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery
barton_stone_hays_basket.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still-life with Basket, Compote and Cheese Box, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 	
barton_stone_hays_creamer.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still-life with Creamer, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 	
barton_stone_hays_fruit.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life with Apples and Grapes, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_fruit_still_life.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life with Fruit, Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_game.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Dead Game, Oil on canvas, animal, animal artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_grapes.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still-life with Grapes and Peaches,Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_grapes_and_apples.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life of Grapes and Apples, Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_grapes_and_basket.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Grapes and Peaches with Basket, Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_grapes_and_peaches.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still Life with Grapes and Peaches, Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_moment.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Tender Moments, Oil on canvas, animal, animal artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_peaches.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Still-life with Peaches, Grapes and Lemonade, Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_peaches_and_grapes.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Basket of Peaches and Grapes on a Table, Oil on canvas, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_still_life.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
barton_stone_hays_tabletop.html	Barton Stone Hays, 1826 – 1914, American, 19th century artist, Tabletop Still-life, still life, still life artwork, artist, paintings, artwork, art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
bass.html	William Hermann Schmedtgen, William Schmedtgen, American, 1862 – 1936, 19th century artist, 20th century artist, Bass, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
battle_of_lake_erie.html	Frank Christian Muller, F. Muller, Danish American 1860 – 1938, 19th century artist, 20th century artist, Oil on canvas, historical, historical artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Beauregard.html	Charles Grant Beauregard, 1856 – 1919, 19th century artist, 20th century artist, Bucolic Landscape with Sheep, Oil on canvas, animal, landscape, animal artwork, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
benjamin_f_hawley_fall.html	Benjamin F. Hawley, B. F. Hawley, American, early 20th century, 20th century artist, fall landscape , Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
benjamin_hawley.html	Benjamin F. Hawley, B. F. Hawley, , ,(American, early 20th century), artist, paintings, artwork, art work, painting, art
bernard_jacob_rosenmeyer_napoleon.html	Bernard Jacob Rosenmeyer, Swedish-American, Late 19th-Early 20th Century, 20th century artist, Gouache and watercolor on paper, Napoleon, hisorical, historical artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
bill_rice_pheasant.html	Bill Rice, American, b. 1952, 20th century artist, Cock Pheasant, Oil on canvas, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
boris_riab_art.html	Boris Riab (American, 1898 - 1975), artist, paintings, artwork, art work, painting, art
boris_riab_ducks.html	Boris Riab, 1898 - 1975, 19th century artist, Watercolor, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
boris_riab_pheasants.html	Boris Riab, 1898 - 1975, 19th century artist, Watercolor, animal, animal artwork, artist, Pheasants in Flight, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Brackett-TroutOnABank.html	Walter M. Brackett,  W.M.Brackett, American, 1823 – 1919, 18th century artist, 19th century artist, Oil on canvas, Trout on a Bank, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Brackett.html	Arthur Loring Brackett,  A L Brackett,  Arthur Brackett, American, 1855-1934, 19th century artist, 20th century artist, Still Life with Woodcock, Oil on canvas, animal, animal artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
Bricher.html	Alfred Thompson Bricher, Alfred Thompson Bricher,  ATBricher, American, 1837 – 1908, 19th century artist, Seascape, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
bruce_crane_autumn.html	Bruce (Robert Bruce) Crane, American, 1857 - 1937, 19th century artist, 20th century artist, Autumn Landscape, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
carducius_plantagenet_ream.html	Carducius Plantagenet Ream, Carducius Ream, , ,, artist, paintings, artwork, art work, painting, art
carducius_plantagenet_ream_fruit.html	Carducius Plantagenet Ream, Carducius Ream, 1837 – 1917, 19th century artist, 20th century artist, Still-life with Fruit and Decanter , Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
carl_philipp_weber_sunset.html	Carl Philipp Weber, C Philipp Weber,  C P Weber,  C Ph Weber, American, 1849 – 1922, Sunset at the Lake, 19th century artist, 20th century artist, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
carl_von_marr_homeward.html	Carl Von Marr, American-German, 1858 - 1936, 19th century artist, 20th century artist, Homeward, landscape, landscape artwork, Oil on canvas, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
carl_weber.html	Carl Philipp Weber , C Philipp Weber, C P Weber, C Ph Weber,(American 1849 - 1922), artist, paintings, artwork, art work, painting, art
catskill_creek.html	Frank Anderson, American, 1844 – 1891, 19th century artist, A Catskill Creek, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
ce.html	John Ross Key, American, 1837 – 1920, 19th century artist, 20th century artist, Trans-Mississippi and International Exposition 1898 - On the Plaza, Oil on canvas, historical, historical artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
cecil_calvert_beall_lincoln.html	Cecil Calvert Beall, C. C. Beall, American, 1892 - 1967, 20th century artist, Portrait of Lincoln, Charcoal/gouache on paper, historical and political, historical and political artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_armor_apple.html	Charles Armor, American, 1844 - 1911, 19th century artist, 20th century artist, Apples with Penknife, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_augustus_lasar.html	Charles Augustus (Shorty) Lasar, Charles Augustus C Lasar, C. Lasar, ,(American, 1856 - 1936), artist, paintings, artwork, art work, painting, art
charles_augustus_lasar_artist.html	Charles Augustus (Shorty) Lasar, American, 1856 – 1936, 19th century artist, 20th century artist, The Lady Artist, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_augustus_lasar_mill.html	Charles Augustus (Shorty) Lasar, American, 1856 – 1936, 19th century artist, 20th century artist, The Old Mill at Salleport England, Oil on canvas, genre, genre artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_augustus_lasar_sunset.html	Charles Augustus (Shorty) Lasar, American, 1856 – 1936, 19th century artist, 20th century artist, Sunset, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 	
charles_august_sommer_traveler.html	Carl Sommer, 1829 – 1894, 19th century artist, lone traveler, Oil on canvas, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_courtney_curran_art_cloud.html	Charles Courtney Curran, American, 1861 - 1942, 19th century artist, 20th century artist, Cloud Surf, Oil on Board, landscape, landscape artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_drew_cahoon_constitution.html	Charles Drew Cahoon, C.D. Cahoon,  Charles Cahoon, American 1861 – 1951, 19th century artist, 20th century artist, Oil on canvas, marine, marine artwork, historical, historical artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
charles_ethan_porter_basket.html	Charles Ethan Porter, American, 1847 – 1923, 19th century artist, 20th century artist, Overturned Basket of Grapes with Peaches, Oil on canvas, still life, still life artwork, artist, paintings, artwork,art work, painting, art, Bedford Fine Art Gallery, fine art, art gallery 
